ID,Company Name,Job Title,Status,Category,Location,Application Date,Tags,Salary Range,Job URL,Job Description,Notes,AI Match Score
8,Datadog,Site Reliability Engineer (SRE),Screening,DevOps & Cloud Infrastructure,"New York, NY",2026-08-10,"Python, Go, Kubernetes, Prometheus, Incident Response","$168,000 - $195,000",https://datadoghq.com/careers/sre,"Datadog is looking for a Site Reliability Engineer to ensure 99.99% uptime for telemetry data processing platforms collecting trillions of data points daily.  Responsibilities: • Design and maintain Kubernetes clusters processing 40TB+ of metrics, logs, and traces per day • Build automated incident response runbooks and self-healing infrastructure controllers • Implement SLO/SLI monitoring dashboards with Prometheus, Grafana, and custom Datadog integrations • Conduct chaos engineering experiments to validate system resilience under failure conditions • Lead post-mortem analysis and drive reliability improvements across engineering teams  Requirements: • 3+ years in SRE, DevOps, or infrastructure engineering roles • Strong programming skills in Python or Go for automation and tooling • Experience managing production Kubernetes clusters at scale (1000+ pods) • Deep understanding of networking (TCP/IP, DNS, load balancing, service mesh)",Phone recruiter call completed. Technical assessment (take-home SRE scenario) sent — due in 5 days.,85%
36,Palantir Technologies,Forward Deployed Software Engineer,Applied,Fullstack Engineering,"Washington, DC",2026-08-10,"Java, Python, TypeScript, Data Analysis, Ontology","$160,000 - $200,000 + Equity",https://palantir.com/careers/fdse,"Palantir is hiring Forward Deployed Software Engineers to build custom analytical applications on the Foundry platform for government and commercial clients.  Work directly with customers to translate complex data challenges into production software solutions using TypeScript, Python, and Palantir's ontology framework.",Applied for FDSE role. Challenging application process with custom project submission required.,N/A
7,Google,Software Infrastructure Engineer,Screening,Backend Development,"Mountain View, CA",2026-08-09,"Go, C++, Distributed Systems, gRPC, Cloud Spanner","$190,000 + Bonus + RSU",https://careers.google.com/jobs/results/infra-eng,"Google is hiring a Software Infrastructure Engineer to design high-throughput distributed storage and RPC frameworks powering core Google Cloud internal services.  You will: • Build and maintain globally distributed storage systems processing petabytes of data daily • Design gRPC service meshes with automatic load balancing, circuit breaking, and retry policies • Implement consensus algorithms (Raft/Paxos variants) for strongly consistent replicated state machines • Optimize garbage collection, memory allocation, and thread scheduling for latency-critical services • Contribute to internal infrastructure libraries used by thousands of Google engineers  Requirements: • 4+ years of low-level systems programming or cloud infrastructure development • Proficiency in Go or C++ with deep understanding of concurrency primitives • Knowledge of distributed systems concepts (CAP theorem, consistency models, vector clocks) • Experience with protocol buffer serialization and RPC framework design",Recruiter reached out on LinkedIn after viewing open-source contributions. Recruiter screen call completed successfully. Technical phone screen being scheduled.,82%
22,Databricks,Distributed Systems Engineer,Applied,AI & Data Engineering,"San Francisco, CA",2026-08-09,"Scala, Java, Apache Spark, Lakehouse, C++","$195,000 + Equity",https://databricks.com/careers/dist-systems,"Databricks is hiring a Distributed Systems Engineer to design high-performance unified data analytics engines and query processors for the Lakehouse platform.  Responsibilities: • Optimize Apache Spark query execution plans for petabyte-scale analytical workloads • Build adaptive query execution (AQE) strategies with runtime statistics-based re-optimization • Design columnar memory managers with vectorized processing and SIMD acceleration • Implement Delta Lake transaction protocols with ACID guarantees on cloud object storage • Develop cost-based optimizer rules for join reordering, predicate pushdown, and partition pruning  Requirements: • 4+ years building distributed data processing systems with Scala, Java, or C++ • Deep understanding of database query optimization and execution engine design • Experience with Apache Spark, Flink, or similar distributed computing frameworks • Knowledge of columnar storage formats and vectorized query processing techniques",Applied directly. Interested in the Lakehouse query optimizer team.,N/A
18,Snowflake,Data Platform Engineer,Applied,AI & Data Engineering,"San Mateo, CA (Hybrid)",2026-08-08,"Python, SQL, Spark, Data Pipelines, Cloud Storage","$175,000 + Equity",https://snowflake.com/careers/data-platform-eng,"Snowflake is hiring a Data Platform Engineer to develop petabyte-scale data warehouse query optimizers and automated ETL streaming pipelines.  Responsibilities: • Build and optimize SQL query execution engines for analytical workloads on distributed cloud storage • Design automated ETL/ELT pipelines processing terabytes of structured and semi-structured data • Implement data quality monitoring frameworks with anomaly detection and schema drift alerts • Develop Snowpark (Python/Scala) UDFs for custom data transformation and ML feature engineering • Optimize storage costs through intelligent data tiering, clustering, and materialized view management  Requirements: • 4+ years of data engineering experience with Python, SQL, and distributed processing frameworks • Deep understanding of columnar storage formats (Parquet, ORC) and query optimization techniques • Experience with Apache Spark, dbt, or Airflow for data pipeline orchestration • Knowledge of cloud data warehousing concepts and multi-tenant resource management",Applied directly on careers site. Highlighted experience with large-scale ETL pipeline design and SQL query optimization.,79%
17,Anthropic,AI Safety & Infrastructure Engineer,Applied,AI & Data Engineering,"San Francisco, CA",2026-08-07,"Python, PyTorch, Ray, GPU Clusters, Claude API","$220,000 - $260,000 + Equity",https://anthropic.com/careers/ai-infra,"Anthropic is seeking an AI Safety & Infrastructure Engineer to build large-scale GPU training orchestration systems and evaluation pipelines for Claude AI models.  You will: • Design distributed training infrastructure across clusters of thousands of H100/A100 GPUs • Build model evaluation pipelines measuring safety, helpfulness, and harmlessness metrics • Implement efficient checkpointing, model parallelism, and gradient accumulation strategies • Develop internal tooling for prompt engineering, red-teaming, and constitutional AI workflows • Optimize inference serving infrastructure for Claude API with dynamic batching and KV-cache management  Requirements: • 3+ years building ML infrastructure or distributed computing systems • Strong Python skills with experience in PyTorch, JAX, or TensorFlow • Knowledge of GPU programming, CUDA optimization, or distributed training frameworks (Ray, DeepSpeed) • Understanding of transformer architectures and large language model training dynamics",Submitted application with AI research portfolio highlighting work on attention mechanism optimization and safety evaluation frameworks.,78%
1,Netflix,Senior Frontend Engineer,Interview,Frontend Development,"Los Gatos, CA (Remote)",2026-08-06,"React, TypeScript, Tailwind CSS, Next.js, Micro-frontends","$170,000 - $210,000",https://jobs.netflix.com/jobs/sr-frontend-8472,"Netflix is looking for a Senior Frontend Engineer to join the Web UI Platform team responsible for building high-performance user interfaces serving over 260M members worldwide.  You will work on: • Architecting micro-frontend modules for the Netflix web player and browse experience • Optimizing Core Web Vitals (LCP < 2.5s, FID < 100ms, CLS < 0.1) across all device categories • Building server-side rendered (SSR) React applications with Next.js for SEO-critical landing pages • Developing reusable component libraries with Tailwind CSS and Storybook documentation • Collaborating with the A/B experimentation platform team to deliver rapid UI feature variants  Requirements: • 5+ years of professional frontend engineering experience with React and TypeScript • Deep understanding of browser rendering pipelines, virtual DOM reconciliation, and paint optimization • Experience with micro-frontend architecture patterns (Module Federation, import maps) • Strong communication skills and ability to mentor junior engineers",Referred by Sarah Chen from LinkedIn. Passed technical phone screen with flying colors. 2nd round (system design) scheduled for next week.,94%
20,HashiCorp,Terraform Ecosystem Developer,Applied,DevOps & Cloud Infrastructure,Remote (US),2026-08-06,"Go, Terraform, HCL, Cloud Providers, IaC","$155,000 - $180,000",https://hashicorp.com/careers/terraform-dev,"HashiCorp is hiring a Terraform Ecosystem Developer to build official Terraform providers, core HCL language features, and enterprise automation modules.  Responsibilities: • Develop and maintain official Terraform providers for major cloud platforms (AWS, Azure, GCP) • Implement HCL language parser enhancements for improved type checking and validation • Build Terraform module testing frameworks with integration test orchestration • Design provider SDK improvements enabling faster community provider development • Contribute to Terraform CLI performance optimization for large state file operations  Requirements: • 3+ years of Go programming experience with focus on CLI and infrastructure tooling • Deep understanding of Infrastructure-as-Code concepts and cloud provider APIs • Experience with Terraform provider development using the Plugin Framework • Familiarity with CI/CD automation and GitOps deployment patterns",Applied via custom referral link from DevOps community contact. Strong Go programming background aligns well.,N/A
19,Postman,API Platform Engineer,Applied,Backend Development,"Austin, TX (Hybrid)",2026-08-05,"Node.js, OpenAPI, Postman SDK, Microservices","$142,000 - $165,000",https://postman.com/careers/api-platform,"Postman is seeking API Platform Engineers to build API testing automation tools, OpenAPI specification generators, and workspace collaboration services.  You will: • Develop API testing frameworks supporting REST, GraphQL, gRPC, and WebSocket protocols • Build OpenAPI 3.1 specification parsers and code generators for 20+ programming languages • Design real-time collaboration features for shared API workspaces with conflict resolution • Implement API monitoring agents with scheduled execution and alerting capabilities • Create Postman SDK libraries enabling programmatic collection management and CI/CD integration  Requirements: • 3+ years building API tooling, developer platforms, or SDK infrastructure • Strong Node.js and TypeScript skills with experience building CLI tools • Deep understanding of API specification formats (OpenAPI, AsyncAPI, JSON Schema) • Experience with distributed systems and real-time collaboration architectures",Applied via company job portal. Demonstrated Postman collection design experience in cover letter.,N/A
3,Meta,Senior Frontend Developer (React / GraphQL),Interview,Frontend Development,"Menlo Park, CA (Hybrid)",2026-08-04,"React, GraphQL, Relay, JavaScript, Performance","$185,000 + RSU Package",https://metacareers.com/jobs/sr-frontend-react,"Meta is seeking a Senior Frontend Developer to architect interactive feeds, messaging web clients, and Marketplace product surfaces within the Meta product ecosystem.  You will: • Build high-performance React components powering the Facebook and Instagram web experiences • Design data-fetching patterns using Relay Modern and GraphQL with fragment colocation • Optimize rendering performance for feeds processing thousands of heterogeneous content cards • Implement real-time messaging features with GraphQL subscriptions and optimistic UI updates • Drive frontend architecture decisions across cross-functional product teams  Requirements: • 5+ years building large-scale single-page applications with React • Expert-level GraphQL knowledge including schema design, caching, and batching strategies • Experience with performance profiling tools (Chrome DevTools, React Profiler, Lighthouse) • Strong CS fundamentals and ability to solve complex algorithmic problems under time pressure",Coding interview scheduled for next Tuesday. Preparing heavy on Relay fragment colocation and GraphQL subscription patterns.,89%
21,Elastic,Search Engine Backend Engineer,Applied,Backend Development,Remote (Worldwide),2026-08-03,"Java, Lucene, Elasticsearch, Search, Distributed","$150,000 - $175,000",https://elastic.co/careers/search-backend,"Elastic is seeking a Search Engine Backend Engineer to build distributed vector search indices, inverted term lists, and Lucene core algorithms for Elasticsearch.  You will: • Implement vector similarity search (kNN, HNSW) for semantic and hybrid search use cases • Optimize Lucene segment merging, indexing throughput, and query execution planning • Design distributed search coordination with scatter-gather query routing across shards • Build aggregation framework extensions for complex analytics over indexed data • Develop benchmarking and performance regression testing infrastructure  Requirements: • 4+ years of Java development with focus on search or distributed systems • Knowledge of information retrieval concepts (TF-IDF, BM25, vector embeddings) • Experience with Apache Lucene internals or similar search engine technology • Understanding of distributed consensus and data replication patterns",Submitted application on elastic.co. Highlighted experience with full-text search indexing and distributed data processing.,N/A
5,Linear,Frontend Engineer (React / TypeScript),Interview,Frontend Development,Remote (Europe / US),2026-08-01,"React, TypeScript, GraphQL, Web Workers, IndexedDB","$160,000 - $180,000",https://linear.app/careers/frontend-engineer,"Linear is looking for a Frontend Engineer to build lightning-fast, keyboard-first project management interfaces with offline-capable synchronization.  You will: • Develop ultra-responsive React UIs with sub-16ms interaction latency targets • Implement local-first data architecture using IndexedDB with CRDT-based conflict resolution • Build keyboard shortcut systems with focus management and global command palettes (Cmd+K) • Optimize Web Worker offloading for background sync, search indexing, and data transformation • Design optimistic UI patterns for seamless offline-to-online state reconciliation  Requirements: • 4+ years in high-performance frontend or desktop-web hybrid development • Deep expertise with React, TypeScript, and modern CSS (Tailwind CSS preferred) • Experience with local-first architecture patterns, service workers, or progressive web apps • Passion for craft, pixel-perfect design implementation, and 60fps interaction fluidity",Completed take-home project building a keyboard-driven command palette with fuzzy search. Review meeting with CTO scheduled this Friday.,93%
2,OpenAI,AI Application Engineer,Interview,AI & Data Engineering,"San Francisco, CA (Hybrid)",2026-07-31,"Python, LLM, OpenAI API, LangChain, FastAPI, VectorDB","$210,000 - $250,000 + Equity",https://openai.com/careers/ai-app-engineer,"OpenAI is hiring an AI Application Engineer to build developer-facing tools, SDK interfaces, and enterprise dashboard features for state-of-the-art large language models.  Responsibilities: • Design and implement production-grade APIs for GPT model inference, fine-tuning, and evaluation • Build real-time streaming chat interfaces using Server-Sent Events (SSE) and WebSocket protocols • Develop Retrieval-Augmented Generation (RAG) pipelines with vector databases (Pinecone, Weaviate, Chroma) • Create Python SDK libraries with comprehensive documentation, type hints, and async support • Collaborate with research scientists to translate model capabilities into practical developer experiences  Requirements: • 3+ years building fullstack Python applications with AI/ML integrations • Proficiency with FastAPI, async Python (asyncio/aiohttp), and modern web frameworks • Hands-on experience with embedding models, similarity search, and prompt engineering • Strong understanding of token economics, context window management, and model evaluation metrics",Completed HR screen with positive feedback. Next round is live system design focusing on RAG pipeline architecture and LLM integration patterns.,96%
4,Airbnb,Lead Product Engineer,Interview,Fullstack Engineering,"San Francisco, CA (Remote-Friendly)",2026-07-29,"React, TypeScript, Java, Kotlin, Design Systems","$195,000 + $40,000 Equity",https://careers.airbnb.com/positions/lead-product-eng,"Airbnb is hiring a Lead Product Engineer to drive the Host Tools product vertical, building management dashboards, booking checkout experiences, and listing creation flows.  Responsibilities: • Lead frontend architecture for the Airbnb Host Dashboard serving 4M+ active hosts globally • Build guest booking checkout experiences with multi-step forms, payment integration, and real-time availability • Develop and maintain Airbnb's internal design system (DLS) with 200+ reusable React components • Implement internationalization (i18n) supporting 62 languages and locale-specific formatting • Mentor a pod of 3-4 engineers and drive technical roadmap planning with Product and Design  Requirements: • 5+ years of fullstack product development experience with React/TypeScript • Experience building design systems or component libraries at scale • Backend proficiency with Java, Kotlin, or Python for service layer development • Strong product sense and ability to balance UX quality with engineering velocity",Pair programming interview went really well! Built a dynamic pricing calendar component in React. Final round with Engineering Director scheduled.,88%
24,Shopify,Fullstack Developer,Rejected,Fullstack Engineering,Remote (Canada / US),2026-07-23,"GraphQL, React, Ruby on Rails, Fullstack","$140,000 - $160,000",https://shopify.com/careers/fullstack-dev,"Shopify is hiring a Fullstack Developer to expand global merchant storefront customization tools and high-scale GraphQL API endpoints.  You will build custom Liquid template rendering engines, merchant admin dashboards, and payment processing integrations serving 2M+ online stores worldwide.",Reached technical round. Rejected due to team preference for candidates with native Ruby on Rails background. Feedback was very constructive.,N/A
11,Vercel,Senior Developer Experience Engineer,Selected,Frontend Development,Remote (US),2026-07-21,"Next.js, React, TypeScript, Developer Tools, Documentation","$175,000 + Stock Options",https://vercel.com/careers/dx-engineer,"Vercel is seeking a Senior Developer Experience Engineer to improve the developer journey for Next.js and the Vercel deployment platform.  You will: • Build CLI tools, starter templates, and interactive tutorials for the Next.js ecosystem • Design and implement developer-facing APIs with intuitive TypeScript interfaces • Create comprehensive documentation with interactive code playgrounds and live examples • Develop VS Code extensions and browser DevTools integrations for enhanced debugging • Gather community feedback and translate developer pain points into product improvements  Requirements: • 4+ years building developer tools, SDKs, or framework-level software • Deep expertise with React, Next.js, TypeScript, and modern build tooling • Excellent technical writing skills with ability to explain complex concepts clearly • Active participation in open-source communities and developer advocacy",🎉 OFFER ACCEPTED! Starting remote position on February 15th. Will be working on Next.js developer tooling and documentation.,90%
10,Stripe,Staff Fullstack Engineer,Selected,Fullstack Engineering,"San Francisco, CA",2026-07-13,"Fullstack, React, Python, PostgreSQL, Stripe API, Ledger","$215,000 + $45,000 Equity/yr",https://stripe.com/jobs/listing/staff-fullstack,"Stripe is hiring a Staff Fullstack Engineer to lead merchant onboarding engines, international checkout workflows, and high-availability financial ledger services.  Responsibilities: • Lead design and implementation of multi-currency payment processing APIs handling $1T+ in annual volume • Build merchant onboarding dashboards with KYC verification flows and real-time compliance checks • Architect idempotent transaction processing systems with exactly-once delivery guarantees • Design PostgreSQL schemas for double-entry accounting ledgers with audit trail capabilities • Mentor a team of 5 engineers and drive architectural standards across billing infrastructure  Requirements: • 6+ years in fullstack engineering with focus on high-availability distributed systems • Expert-level knowledge of financial software patterns (idempotency, saga, compensation) • Proficiency with React/TypeScript frontends and Python/Go backend services • Experience with regulatory compliance (PCI-DSS, SOC 2) and financial reconciliation systems",🎉 OFFER RECEIVED! Base $215k + equity package. Negotiating start date for March 1st. Extremely excited about the financial infrastructure team.,87%
25,Slack (Salesforce),Senior Backend Engineer (Realtime),Rejected,Backend Development,"Denver, CO (Hybrid)",2026-07-09,"Java, Hack/PHP, WebSockets, Redis, Kafka","$158,000 - $180,000",https://slack.com/careers/backend-realtime,Slack is seeking a Senior Backend Engineer to build low-latency messaging servers handling millions of concurrent WebSocket connections and enterprise notification delivery systems.,Passed technical coding round with strong performance. Rejected after final architectural review — team wanted more experience with Kafka event streaming at massive scale.,N/A
26,Twilio,Senior Telecom API Developer,Rejected,Backend Development,Remote (US),2026-07-01,"Java, Python, SIP, Telecom, REST APIs","$152,000 - $170,000",https://twilio.com/careers/telecom-api,"Twilio is hiring a Senior Telecom API Developer to build programmable voice, SMS, and SIP routing microservices delivering global communication connectivity for 300K+ business customers.",Applied 2 months ago. Position was filled internally before interview process completed. Recruiter encouraged reapplying for future openings.,N/A
27,Coinbase,Blockchain & Web3 Backend Developer,Rejected,Backend Development,Remote (US),2026-06-21,"Go, Ethereum, Solidity, Cryptography, REST","$175,000 + Crypto Bonus",https://coinbase.com/careers/web3-dev,"Coinbase is seeking a Blockchain & Web3 Backend Developer to build secure crypto transaction indexers, smart contract verification tools, and exchange order matching engines.",Position closed before interview process completed due to company-wide hiring freeze. No technical evaluation happened.,N/A
28,Canonical (Ubuntu),Lead Django Software Engineer,Wishlist,Backend Development,Remote (Worldwide),,"Python, Django, Linux, Open Source, PostgreSQL","$135,000 - $155,000",https://canonical.com/careers/django-lead,Canonical is seeking a Lead Django Software Engineer to build open-source infrastructure management portals and cloud distribution dashboards for Ubuntu ecosystem tools.,Dream remote role with amazing open-source culture. Planning to polish GitHub profile and contribute to Ubuntu Server projects before applying.,N/A
29,Figma,Frontend Performance Engineer,Wishlist,Frontend Development,"San Francisco, CA",,"WebAssembly, WebGL, Canvas API, TypeScript, React","$180,000 - $220,000",https://figma.com/careers/frontend-perf,"Figma is hiring a Frontend Performance Engineer to optimize real-time multi-user canvas rendering, WebAssembly memory allocation, and vector graphic engines inside web browsers.",Fascinating role requiring deep WebGL & C++ to Wasm compilation knowledge. Currently studying Canvas rendering optimization to prepare.,N/A
30,Discord,Realtime Backend Engineer,Wishlist,Backend Development,Remote (US),,"Elixir, Rust, WebSockets, Voice Engine, Redis","$165,000 - $190,000",https://discord.com/careers/realtime-backend,"Discord is seeking engineers to build sub-millisecond voice, video, and text communication backend routing services for 200M+ monthly active users.",Incredible tech stack. Currently learning Rust through Advent of Code challenges. Planning to apply once comfortable with Tokio async runtime.,N/A
31,Cloudflare,Edge Network Software Engineer,Wishlist,Cybersecurity & Infra,"Austin, TX (Hybrid)",,"Rust, Go, Cloudflare Workers, DNS, Security","$162,000 - $195,000",https://cloudflare.com/careers/edge-eng,"Cloudflare is hiring an Edge Network Software Engineer to build DDoS protection systems, global DNS resolution infrastructure, and the Workers serverless edge execution platform.",Fascinating edge computing challenges. Following their engineering blog closely. Want to build a Cloudflare Workers demo project before applying.,N/A
32,Docker,Container Platform Developer,Wishlist,DevOps & Cloud Infrastructure,Remote (US),,"Go, Docker Desktop, containerd, Linux Containers","$158,000 - $180,000",https://docker.com/careers/container-dev,"Docker is seeking a Container Platform Developer to build container engine runtimes, BuildKit image compilation engines, and developer desktop virtualization layers.",Excited by recent Docker Desktop innovations and Wasm container support. Building a portfolio project using containerd SDK.,N/A
